scope,target,group,n,mean_target,best_feature,best_abs_spearman,best_spearman
pooled,utility_loss,thermo,240,0.19802851020835469,basin_margin,0.40804585574780494,0.40804585574780494
within_setting_mean,utility_loss,thermo,240,0.19802851020835469,native_entropy,0.5817608926462006,0.5562839452952609
pooled,utility_loss,simple,240,0.19802851020835469,steering_strength,0.8074107656936567,0.8074107656936567
within_setting_mean,utility_loss,simple,240,0.19802851020835469,risk,0.7768603699265405,0.7768603699265405
pooled,coherence,thermo,240,0.7365004152902503,basin_margin,0.38992970817078065,-0.38992970817078065
within_setting_mean,coherence,thermo,240,0.7365004152902503,native_entropy,0.6172774839097177,-0.540189018300806
pooled,coherence,simple,240,0.7365004152902503,steering_strength,0.6502967880698834,-0.6502967880698834
within_setting_mean,coherence,simple,240,0.7365004152902503,risk,0.5516244116585337,-0.5156771690579284
pooled,repetition_collapse,thermo,240,0.31140354905784307,basin_margin,0.3972514649162845,0.3972514649162845
within_setting_mean,repetition_collapse,thermo,240,0.31140354905784307,native_entropy,0.6084625786463669,0.6084625786463669
pooled,repetition_collapse,simple,240,0.31140354905784307,steering_strength,0.6625027191023768,0.6625027191023768
within_setting_mean,repetition_collapse,simple,240,0.31140354905784307,risk,0.5386693194523509,0.534053738192629
pooled,template_collapse,thermo,240,0.05347222222222222,steering_alignment,0.20605524933983835,0.20605524933983835
within_setting_mean,template_collapse,thermo,240,0.05347222222222222,native_entropy,0.4267923433768326,0.09206970780749066
pooled,template_collapse,simple,240,0.05347222222222222,risk,0.29101481796469897,0.29101481796469897
within_setting_mean,template_collapse,simple,240,0.05347222222222222,risk,0.5041747537498066,0.429411850144478
pooled,semantic_drift,thermo,240,0.5565548422417135,basin_margin,0.4782768128668924,0.4782768128668924
within_setting_mean,semantic_drift,thermo,240,0.5565548422417135,native_entropy,0.6646479629775731,0.6646479629775731
pooled,semantic_drift,simple,240,0.5565548422417135,steering_strength,0.8966050071597709,0.8966050071597709
within_setting_mean,semantic_drift,simple,240,0.5565548422417135,risk,0.8785052153313256,0.8785052153313256
pooled,degradation_score,thermo,240,0.3531542327997572,basin_margin,0.3519907472802345,0.3519907472802345
within_setting_mean,degradation_score,thermo,240,0.3531542327997572,native_entropy,0.618002285495555,0.618002285495555
pooled,degradation_score,simple,240,0.3531542327997572,steering_strength,0.7303085413569873,0.7303085413569873
within_setting_mean,degradation_score,simple,240,0.3531542327997572,risk,0.6772377729634078,0.6772377729634078
