layer,n,mean_risk,jailbreak_m_null,benign_m_null,sep_m_null,jailbreak_entropy,benign_entropy,sep_entropy,jailbreak_spectral_gap,benign_spectral_gap,sep_spectral_gap
2,38,0.2806578947368421,4.147540625618949e-08,7.986648729013657e-09,3.348875752717583e-08,1.428867885044643,1.4214764030612244,0.007391481983418657,0.4229314696221125,0.5017986686862245,-0.07886719906411199
6,38,0.2806578947368421,0.42826074707434986,0.38294587262706564,0.045314874447284215,1.0938545014890095,1.2539112324617345,-0.160056730972725,0.3721525214967274,0.3949236188616071,-0.0227710973648797
10,38,0.2806578947368421,0.6585188366117932,0.4999511095942283,0.15856772701756494,0.8621975058361256,1.2206732302295915,-0.35847572439346587,0.3287036702746437,0.3984840548768335,-0.06978038460218983
14,38,0.2806578947368421,0.2961234705788749,0.11893601320227798,0.1771874573765969,1.4325000104450047,1.789779974489796,-0.35727996404479123,0.32178908302670434,0.41769471460459184,-0.0959056315778875
16,38,0.2806578947368421,0.1711039727635493,0.10390116320091432,0.06720280956263498,0.9239521934872581,0.9606435347576532,-0.036691341270395084,0.2734252952394031,0.26991357608717315,0.003511719152229975
18,38,0.2806578947368421,0.5994282222929455,0.4263884875239158,0.17303973476902967,0.8942573353566505,1.1999536631058674,-0.30569632774921685,0.23479666596367244,0.312191087372449,-0.07739442140877656
20,38,0.2806578947368421,0.595572380792527,0.42973701321348845,0.1658353675790385,1.030961057983989,1.3727441904496176,-0.34178313246562864,0.38897314525785903,0.4470613440688776,-0.058088198811018565
21,38,0.2806578947368421,0.7222072056361607,0.6579015303631218,0.06430567527303888,0.6712671543826305,0.8151157924107143,-0.1438486380280838,0.35404788880121146,0.42341831752232145,-0.06937042872110999
22,38,0.2806578947368421,0.0015701354857136415,0.00010534112427231608,0.0014647943614413254,1.5644414992559523,1.6299426020408163,-0.06550110278486398,0.4047827947707403,0.4963055046237245,-0.09152270985298422
23,38,0.2806578947368421,0.0422321130671787,0.008219771468360348,0.03401234159881836,1.5063643682570687,1.6142578125,-0.10789344424293135,0.3449830659443424,0.4345251589405293,-0.08954209299618687
