step,train_acc,val_acc,attn_specific_heat,attn_entropy,repr_participation_ratio,weight_spectral_entropy
9900,1.0,0.25,0.001954,0.693173,19.5359,3.658642
10000,1.0,0.2559,0.001855,0.693154,19.716,3.673787
10100,1.0,0.2539,0.002132,0.693177,19.7045,3.684911
10200,1.0,0.2578,0.002774,0.693263,19.6614,3.692086
10300,1.0,0.2559,0.003779,0.693425,19.6097,3.695606
10400,1.0,0.2578,0.004808,0.6936,19.5723,3.695845
10500,1.0,0.2578,0.005388,0.693686,19.569,3.693523
10600,1.0,0.2578,0.005461,0.693689,19.5977,3.689172
10700,1.0,0.2617,0.005269,0.693641,19.6699,3.68321
10800,1.0,0.2617,0.004744,0.693544,19.8465,3.676075
10900,1.0,0.2578,0.003799,0.693406,20.0316,3.667503
11000,1.0,0.25,0.00234,0.693197,13.4206,3.636051
11100,1.0,0.2441,0.014607,0.695151,16.7916,3.621946
11200,1.0,0.2559,0.002493,0.69322,19.1618,3.63634
11300,1.0,0.2539,0.001476,0.693097,20.1648,3.656515
11400,1.0,0.2539,0.001371,0.693092,20.1845,3.671734
11500,1.0,0.252,0.001584,0.69313,19.8759,3.680734
11600,1.0,0.25,0.001916,0.693183,19.543,3.684905
11700,1.0,0.25,0.002283,0.693242,19.283,3.685122
11800,1.0,0.25,0.002651,0.69331,19.1001,3.682099
11900,1.0,0.25,0.003004,0.693375,18.9933,3.676756
12000,1.0,0.248,0.003227,0.693424,18.9604,3.669838
12100,1.0,0.2441,0.003247,0.693441,18.9918,3.662271
12200,1.0,0.2422,0.00293,0.693398,19.1818,3.654732
12300,1.0,0.2441,0.002514,0.69333,19.1948,3.648338
12400,1.0,0.2207,0.001334,0.693084,7.1918,3.608715
12500,1.0,0.2402,0.007447,0.694099,18.0872,3.613699
12600,1.0,0.248,0.000989,0.69307,19.0135,3.625865
12700,1.0,0.252,0.000704,0.693012,19.7047,3.643124
12800,1.0,0.25,0.000786,0.693008,19.8118,3.65917
12900,1.0,0.248,0.001098,0.693032,19.6882,3.671718
13000,1.0,0.25,0.001619,0.6931,19.5611,3.680136
13100,1.0,0.248,0.002192,0.693179,19.4664,3.684237
13200,1.0,0.248,0.002497,0.693227,19.4194,3.684311
13300,1.0,0.2441,0.002528,0.693236,19.4365,3.680901
13400,1.0,0.2461,0.002453,0.693227,19.5236,3.674638
13500,1.0,0.2461,0.0023,0.693209,19.7014,3.666203
13600,1.0,0.2324,0.002007,0.693165,20.0102,3.656194
13700,1.0,0.2324,0.001641,0.693121,19.2643,3.641673
13800,1.0,0.1953,0.006229,0.693776,17.6805,3.606393
13900,1.0,0.2402,0.00318,0.693326,18.2791,3.61163
14000,1.0,0.2441,0.001478,0.693105,19.7635,3.627324
14100,1.0,0.2441,0.001969,0.693188,20.5911,3.642568
14200,1.0,0.2441,0.002539,0.693293,20.7246,3.655015
14300,1.0,0.2402,0.003075,0.693392,20.5393,3.663869
14400,1.0,0.2363,0.003511,0.693471,20.2959,3.669328
14500,1.0,0.2363,0.004031,0.693563,20.0963,3.671761
14600,1.0,0.2344,0.004611,0.693662,19.9467,3.671586
14700,1.0,0.2344,0.005043,0.693733,19.8503,3.669252
14800,1.0,0.2324,0.005545,0.693822,19.8292,3.665033
14900,1.0,0.2324,0.005729,0.693853,19.9013,3.659403
15000,1.0,0.2324,0.005671,0.693838,20.1457,3.65263
15100,1.0,0.2305,0.004948,0.693717,18.5863,3.640207
15200,1.0,0.2246,0.015293,0.69553,19.0564,3.615471
15300,1.0,0.2383,0.004232,0.693534,19.6604,3.622327
15400,1.0,0.248,0.003791,0.693502,20.4195,3.635333
15500,1.0,0.25,0.004293,0.693599,20.6524,3.646437
15600,1.0,0.2539,0.004506,0.693641,20.4866,3.655539
15700,1.0,0.2539,0.004669,0.693668,20.2576,3.662856
15800,1.0,0.248,0.005218,0.693758,20.0838,3.66821
15900,1.0,0.25,0.006186,0.693915,19.992,3.671277
16000,1.0,0.2461,0.007084,0.694081,19.9694,3.671968
16100,1.0,0.2422,0.007614,0.694197,19.9889,3.670567
16200,1.0,0.2402,0.008119,0.694315,20.0586,3.667361
16300,1.0,0.2363,0.008377,0.694374,20.216,3.662694
16400,1.0,0.2383,0.007913,0.694297,20.1023,3.65683
16500,1.0,0.2363,0.006997,0.694122,10.9848,3.627443
16600,1.0,0.2305,0.015111,0.695696,17.219,3.619931
16700,1.0,0.2383,0.005026,0.693776,18.7974,3.634101
16800,1.0,0.248,0.005179,0.693813,19.8807,3.649533
16900,1.0,0.252,0.005332,0.693837,20.2226,3.66218
17000,1.0,0.252,0.005416,0.693841,20.1245,3.672347
17100,1.0,0.2539,0.005479,0.693845,19.9312,3.679808
17200,1.0,0.252,0.005409,0.693826,19.7918,3.684559
17300,1.0,0.25,0.00541,0.693816,19.7005,3.686862
17400,1.0,0.25,0.005415,0.693804,19.6505,3.686904
17500,1.0,0.25,0.005268,0.693769,19.6735,3.684866
17600,1.0,0.25,0.004891,0.693691,19.7916,3.681047
17700,1.0,0.2441,0.004507,0.693622,20.0296,3.675413
17800,1.0,0.2422,0.003573,0.69345,19.0012,3.664699
17900,1.0,0.2266,0.013176,0.69541,18.1753,3.640023
18000,1.0,0.25,0.005031,0.693651,18.9508,3.647452
18100,1.0,0.25,0.004715,0.693611,20.0124,3.662657
18200,1.0,0.2441,0.004914,0.693653,20.4491,3.674039
18300,1.0,0.2441,0.005092,0.693691,20.4119,3.68312
18400,1.0,0.2461,0.005399,0.693747,20.2065,3.690228
18500,1.0,0.2441,0.005777,0.693825,19.9896,3.694914
18600,1.0,0.248,0.006205,0.693901,19.7997,3.69677
18700,1.0,0.2461,0.006565,0.693958,19.6634,3.695937
18800,1.0,0.2461,0.007071,0.69405,19.6113,3.692881
18900,1.0,0.2441,0.00741,0.694113,19.6638,3.687979
19000,1.0,0.2422,0.007515,0.694136,19.7569,3.681716
19100,1.0,0.2461,0.007398,0.694108,18.0881,3.672967
19200,1.0,0.209,0.00779,0.693552,15.1153,3.643177
19300,1.0,0.2441,0.007428,0.693985,16.5477,3.648894
19400,1.0,0.2422,0.005873,0.693804,18.8705,3.666024
19500,1.0,0.2422,0.005536,0.693753,19.9915,3.68051
19600,1.0,0.2441,0.004656,0.693603,20.1168,3.691785
19700,1.0,0.2441,0.004075,0.6935,19.9303,3.699917
19800,1.0,0.2461,0.003258,0.693369,19.7475,3.704949
19900,1.0,0.248,0.002761,0.693288,19.6043,3.707381
20000,1.0,0.248,0.002621,0.693267,19.5346,3.707523
20100,1.0,0.252,0.002745,0.693287,19.531,3.705716
20200,1.0,0.25,0.002929,0.693317,19.6029,3.702203
20300,1.0,0.25,0.003101,0.693344,19.835,3.697165
20400,1.0,0.2461,0.003154,0.693364,18.9797,3.688363
20500,1.0,0.2188,0.012195,0.694365,17.2456,3.661973
20600,1.0,0.2363,0.007338,0.693903,18.8342,3.668762
20700,1.0,0.2422,0.00355,0.693374,20.0978,3.68576
20800,1.0,0.2461,0.00399,0.69345,20.4918,3.698518
20900,1.0,0.25,0.004792,0.693572,20.2862,3.707544
21000,1.0,0.2539,0.005683,0.693714,19.9087,3.713401
21100,1.0,0.2539,0.006587,0.693861,19.5825,3.716909
21200,1.0,0.2539,0.007535,0.694027,19.3548,3.718561
21300,1.0,0.25,0.008702,0.694237,19.2193,3.718564
21400,1.0,0.25,0.009612,0.694403,19.1817,3.71702
21500,1.0,0.2461,0.010028,0.694473,19.2033,3.714016
21600,1.0,0.2422,0.010172,0.694489,18.9799,3.709072
21700,1.0,0.2402,0.009613,0.694371,15.0346,3.698802
21800,1.0,0.2266,0.024406,0.697279,15.8538,3.67598
21900,1.0,0.2441,0.007422,0.693928,17.8226,3.682826
22000,1.0,0.2461,0.003746,0.693361,19.7631,3.700185
22100,1.0,0.2461,0.002906,0.693259,20.4745,3.714313
22200,1.0,0.252,0.002525,0.693224,20.3721,3.724367
22300,1.0,0.25,0.002438,0.693227,20.0837,3.730751
22400,1.0,0.25,0.002352,0.693224,19.837,3.733865
22500,1.0,0.25,0.00241,0.693237,19.679,3.734222
22600,1.0,0.252,0.00264,0.693275,19.5967,3.732316
22700,1.0,0.248,0.002956,0.69331,19.5881,3.728526
22800,1.0,0.2461,0.003367,0.693369,19.6787,3.723239
22900,1.0,0.2441,0.003604,0.693408,19.8887,3.716531
