id,suite,label,risk,risk_source,layer,head,null_bias,beta,m_null,entropy,psi,spectral_gap,head_selected,mix_alpha,phi_penalty_mean,null_value_norm
benign-1,benign,benign,0.06287973277053556,probe_latent,16,0,4.1830680856946856e-05,1.0000157356262207,0.06904079020023346,1.596673846244812,-0.5154329538345337,0.7962932586669922,1.0,0.55,0.0011990168131887913,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,1,4.1830680856946856e-05,1.0000157356262207,0.08928409218788147,1.2661036252975464,-0.5957463383674622,0.5310310125350952,1.0,0.55,0.0011990168131887913,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,2,4.1830680856946856e-05,1.0000157356262207,0.08591991662979126,1.142383098602295,-0.6258491277694702,0.6382941007614136,1.0,0.55,0.0011990168131887913,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,3,4.1830680856946856e-05,1.0000157356262207,0.07999048382043839,1.1435682773590088,-0.6109660863876343,0.500893771648407,1.0,0.55,0.0011990168131887913,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,4,4.1830680856946856e-05,1.0000157356262207,0.034248802810907364,1.3086344003677368,-0.6716575622558594,0.8808914422988892,1.0,0.55,0.0011990168131887913,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,5,4.1830680856946856e-05,1.0000157356262207,0.018192237243056297,1.1502795219421387,-0.7165399193763733,0.9167087078094482,1.0,0.55,0.0011990168131887913,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,6,4.1830680856946856e-05,1.0000157356262207,0.2454720437526703,1.8012644052505493,-0.2191273421049118,0.8516533374786377,1.0,0.55,0.0011990168131887913,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,7,4.1830680856946856e-05,1.0000157356262207,0.05991212651133537,1.3370096683502197,-0.6320650577545166,0.6859420537948608,1.0,0.55,0.0011990168131887913,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,8,4.1830680856946856e-05,1.0000157356262207,0.09463335573673248,1.2834265232086182,-0.5962098836898804,0.4877101182937622,1.0,0.55,0.0011990168131887913,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,9,4.1830680856946856e-05,1.0000157356262207,0.06673014909029007,1.1926459074020386,-0.6589186191558838,0.46558499336242676,1.0,0.55,0.0011990168131887913,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,10,4.1830680856946856e-05,1.0000157356262207,0.03623237460851669,1.5911426544189453,-0.5543294548988342,0.8157032132148743,1.0,0.55,0.0011990168131887913,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,11,4.1830680856946856e-05,1.0000157356262207,0.06871701776981354,1.8551479578018188,-0.43051236867904663,0.7751455307006836,1.0,0.55,0.0011990168131887913,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,12,4.1830680856946856e-05,1.0000157356262207,0.060489725321531296,1.527740240097046,-0.525200605392456,0.6635937094688416,1.0,0.55,0.0011990168131887913,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,13,4.1830680856946856e-05,1.0000157356262207,0.0457647405564785,2.2278499603271484,-0.2811105251312256,0.653158962726593,1.0,0.55,0.0011990168131887913,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,14,4.1830680856946856e-05,1.0000157356262207,0.05238939821720123,1.6989481449127197,-0.45599883794784546,0.702701210975647,1.0,0.55,0.0011990168131887913,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,15,4.1830680856946856e-05,1.0000157356262207,0.026565268635749817,1.1829705238342285,-0.6907103061676025,0.7883943319320679,1.0,0.55,0.0011990168131887913,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,0,4.1830680856946856e-05,1.0000157356262207,0.07369960099458694,1.7079997062683105,-0.4759523868560791,0.8528701663017273,1.0,0.55,0.0012253915192559361,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,1,4.1830680856946856e-05,1.0000157356262207,0.0796276107430458,1.1100996732711792,-0.6714648008346558,0.9670334458351135,1.0,0.55,0.0012253915192559361,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,2,4.1830680856946856e-05,1.0000157356262207,0.1141924038529396,1.5663620233535767,-0.43770918250083923,0.820976734161377,1.0,0.55,0.0012253915192559361,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,3,4.1830680856946856e-05,1.0000157356262207,0.07646823674440384,0.8971394300460815,-0.7164077758789062,0.9585396647453308,1.0,0.55,0.0012253915192559361,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,4,4.1830680856946856e-05,1.0000157356262207,0.017156101763248444,0.6707779765129089,-0.8684484958648682,0.9900950193405151,1.0,0.55,0.0012253915192559361,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,5,4.1830680856946856e-05,1.0000157356262207,0.008451500907540321,1.0592995882034302,-0.7853599786758423,0.968370795249939,1.0,0.55,0.0012253915192559361,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,6,4.1830680856946856e-05,1.0000157356262207,0.27723750472068787,1.9802485704421997,-0.10651782155036926,0.958267092704773,1.0,0.55,0.0012253915192559361,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,7,4.1830680856946856e-05,1.0000157356262207,0.037812214344739914,0.6892200112342834,-0.8343852758407593,0.9846482276916504,1.0,0.55,0.0012253915192559361,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,8,4.1830680856946856e-05,1.0000157356262207,0.07489892840385437,0.5185741782188416,-0.8133505582809448,0.995161235332489,1.0,0.55,0.0012253915192559361,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,9,4.1830680856946856e-05,1.0000157356262207,0.06514764577150345,1.2760933637619019,-0.6520200967788696,0.9632875323295593,1.0,0.55,0.0012253915192559361,3.816615104675293
benign-1,benign,benign,0.06287973277053556,probe_latent,16,10,4.1830680856946856e-05,1.0000157356262207,0.03527688980102539,2.0283076763153076,-0.447570264339447,0.9034050703048706,1.0,0.55,0.0012253915192559361,3.816615104675293
