step,train_acc,val_acc,attn_specific_heat,attn_entropy,repr_participation_ratio,weight_spectral_entropy
0,0.0263,0.0156,0.040511,1.077707,19.8164,3.816016
100,0.952,0.4609,0.008587,0.692702,17.6806,3.798562
200,0.9891,0.457,0.014165,0.693588,17.7475,3.785263
300,0.9937,0.4512,0.014434,0.69391,18.397,3.770086
400,0.9964,0.457,0.01733,0.69466,19.0469,3.754651
500,1.0,0.4609,0.01846,0.694974,19.4263,3.740784
600,1.0,0.457,0.015924,0.694514,19.5504,3.729886
700,1.0,0.459,0.01446,0.694282,19.5557,3.721604
800,1.0,0.457,0.013612,0.694158,19.5357,3.715023
900,1.0,0.4531,0.012961,0.694047,19.5288,3.709392
1000,1.0,0.4551,0.012555,0.693981,19.4838,3.70433
1100,1.0,0.4551,0.012659,0.693993,19.4628,3.699589
1200,1.0,0.4551,0.012325,0.693948,19.516,3.694926
1300,1.0,0.4512,0.011534,0.693828,19.6519,3.689992
1400,1.0,0.4512,0.010329,0.69361,19.8971,3.684221
1500,1.0,0.4492,0.009052,0.693413,20.161,3.677275
1600,1.0,0.4492,0.008211,0.693306,20.392,3.669141
1700,1.0,0.4551,0.007869,0.693233,20.5314,3.660533
1800,1.0,0.4531,0.007836,0.693254,20.6559,3.65238
1900,1.0,0.457,0.008044,0.693252,20.7554,3.644994
2000,1.0,0.4648,0.008329,0.693295,20.8137,3.637939
2100,1.0,0.4648,0.008507,0.693321,20.8161,3.630781
2200,1.0,0.4688,0.008822,0.693363,20.537,3.623156
2300,1.0,0.4766,0.009376,0.693445,19.988,3.614762
2400,1.0,0.4785,0.010026,0.693554,18.9769,3.604987
2500,1.0,0.4883,0.010744,0.693689,17.4638,3.593043
2600,1.0,0.502,0.011663,0.693875,15.3828,3.578375
2700,1.0,0.5078,0.01257,0.693994,11.429,3.560945
2800,1.0,0.5273,0.012018,0.694005,3.0648,3.540951
2900,1.0,0.5391,0.038993,0.699399,7.0347,3.534127
3000,1.0,0.5703,0.020218,0.695363,11.2494,3.524921
3100,1.0,0.625,0.027078,0.696857,14.5363,3.511975
3200,1.0,0.7891,0.035827,0.698893,12.9825,3.495008
3300,1.0,0.9141,0.044934,0.70112,10.6882,3.475278
3400,1.0,0.9785,0.053193,0.703209,9.2954,3.452729
3500,1.0,0.9941,0.058452,0.704566,8.5955,3.426705
3600,1.0,1.0,0.061851,0.705438,8.2418,3.398492
3700,1.0,1.0,0.065772,0.706667,8.0709,3.369528
3800,1.0,1.0,0.070624,0.708281,7.9656,3.3412
3900,1.0,1.0,0.075496,0.709898,7.8809,3.314105
4000,1.0,1.0,0.079408,0.711194,7.87,3.287267
4100,1.0,1.0,0.08168,0.711952,7.9835,3.258722
4200,1.0,1.0,0.08192,0.712065,8.1785,3.226915
4300,1.0,1.0,0.080239,0.711538,8.468,3.190801
4400,1.0,1.0,0.069616,0.708179,8.4638,3.140503
4500,1.0,0.998,0.029058,0.697546,1.5504,3.044451
4600,1.0,1.0,0.145532,0.739741,6.4329,3.039363
4700,1.0,1.0,0.068215,0.707914,8.202,3.039549
4800,1.0,0.998,0.071052,0.7087,8.9124,3.041351
4900,1.0,0.998,0.073805,0.709503,8.4713,3.045034
5000,1.0,0.998,0.075403,0.709988,7.7889,3.051246
5100,1.0,0.998,0.076041,0.710176,7.2919,3.057832
5200,1.0,0.998,0.076374,0.710244,6.9736,3.063983
5300,1.0,0.998,0.077592,0.710586,6.7874,3.069769
5400,1.0,1.0,0.080213,0.711393,6.6952,3.075542
5500,1.0,1.0,0.084074,0.712656,6.7066,3.081731
5600,1.0,1.0,0.087582,0.713872,6.8114,3.08831
5700,1.0,1.0,0.088743,0.714308,7.0251,3.094657
5800,1.0,1.0,0.087092,0.713815,7.3162,3.098688
5900,1.0,1.0,0.083483,0.712661,7.6997,3.094149
6000,1.0,1.0,0.070997,0.708652,7.6364,3.060652
6100,1.0,1.0,0.03426,0.69896,1.6665,2.973948
6200,1.0,1.0,0.151548,0.743138,5.3847,2.969804
6300,1.0,1.0,0.069267,0.708344,7.0102,2.962164
6400,1.0,1.0,0.0672,0.707632,8.0931,2.959738
6500,1.0,1.0,0.066026,0.70724,8.0347,2.958647
6600,1.0,1.0,0.064883,0.706884,7.6006,2.957745
6700,1.0,1.0,0.06366,0.706513,7.2458,2.957597
6800,1.0,1.0,0.06298,0.706312,7.0302,2.959217
6900,1.0,1.0,0.063727,0.706523,6.9038,2.962836
7000,1.0,1.0,0.06639,0.707312,6.8297,2.968514
7100,1.0,1.0,0.071129,0.708743,6.7959,2.975846
7200,1.0,1.0,0.076348,0.710401,6.8069,2.984681
7300,1.0,1.0,0.080051,0.711599,6.8983,2.993266
7400,1.0,1.0,0.082305,0.712381,7.0663,3.002025
7500,1.0,1.0,0.083005,0.712694,7.3367,3.007213
7600,1.0,1.0,0.077993,0.711044,7.5012,2.998657
7700,1.0,1.0,0.043371,0.701236,3.0412,2.936358
7800,1.0,1.0,0.186501,0.768856,4.3368,2.915663
7900,1.0,1.0,0.071649,0.708983,5.6583,2.91213
8000,1.0,1.0,0.066076,0.707282,6.9983,2.906857
