step   5700 | train 1.000 val 1.000 | C_attn 0.0887 H_attn 0.7143 PR 7.03 Sspec 3.0947
step   5800 | train 1.000 val 1.000 | C_attn 0.0871 H_attn 0.7138 PR 7.32 Sspec 3.0987
step   5900 | train 1.000 val 1.000 | C_attn 0.0835 H_attn 0.7127 PR 7.70 Sspec 3.0941
step   6000 | train 1.000 val 1.000 | C_attn 0.0710 H_attn 0.7087 PR 7.64 Sspec 3.0607
step   6100 | train 1.000 val 1.000 | C_attn 0.0343 H_attn 0.6990 PR 1.67 Sspec 2.9739
step   6200 | train 1.000 val 1.000 | C_attn 0.1515 H_attn 0.7431 PR 5.38 Sspec 2.9698
step   6300 | train 1.000 val 1.000 | C_attn 0.0693 H_attn 0.7083 PR 7.01 Sspec 2.9622
step   6400 | train 1.000 val 1.000 | C_attn 0.0672 H_attn 0.7076 PR 8.09 Sspec 2.9597
step   6500 | train 1.000 val 1.000 | C_attn 0.0660 H_attn 0.7072 PR 8.03 Sspec 2.9586
step   6600 | train 1.000 val 1.000 | C_attn 0.0649 H_attn 0.7069 PR 7.60 Sspec 2.9577
step   6700 | train 1.000 val 1.000 | C_attn 0.0637 H_attn 0.7065 PR 7.25 Sspec 2.9576
step   6800 | train 1.000 val 1.000 | C_attn 0.0630 H_attn 0.7063 PR 7.03 Sspec 2.9592
step   6900 | train 1.000 val 1.000 | C_attn 0.0637 H_attn 0.7065 PR 6.90 Sspec 2.9628
step   7000 | train 1.000 val 1.000 | C_attn 0.0664 H_attn 0.7073 PR 6.83 Sspec 2.9685
step   7100 | train 1.000 val 1.000 | C_attn 0.0711 H_attn 0.7087 PR 6.80 Sspec 2.9758
step   7200 | train 1.000 val 1.000 | C_attn 0.0763 H_attn 0.7104 PR 6.81 Sspec 2.9847
step   7300 | train 1.000 val 1.000 | C_attn 0.0801 H_attn 0.7116 PR 6.90 Sspec 2.9933
step   7400 | train 1.000 val 1.000 | C_attn 0.0823 H_attn 0.7124 PR 7.07 Sspec 3.0020
step   7500 | train 1.000 val 1.000 | C_attn 0.0830 H_attn 0.7127 PR 7.34 Sspec 3.0072
step   7600 | train 1.000 val 1.000 | C_attn 0.0780 H_attn 0.7110 PR 7.50 Sspec 2.9987
step   7700 | train 1.000 val 1.000 | C_attn 0.0434 H_attn 0.7012 PR 3.04 Sspec 2.9364
step   7800 | train 1.000 val 1.000 | C_attn 0.1865 H_attn 0.7689 PR 4.34 Sspec 2.9157
step   7900 | train 1.000 val 1.000 | C_attn 0.0716 H_attn 0.7090 PR 5.66 Sspec 2.9121
step   8000 | train 1.000 val 1.000 | C_attn 0.0661 H_attn 0.7073 PR 7.00 Sspec 2.9069
wrote 81 checkpoints to results/grok_seed1.csv
