layer,n,mean_risk,jailbreak_m_null,benign_m_null,sep_m_null,jailbreak_entropy,benign_entropy,sep_entropy,jailbreak_spectral_gap,benign_spectral_gap,sep_spectral_gap,jailbreak_m_null_baseline,benign_m_null_baseline,sep_m_null_baseline,risk_attributable_sep_m_null,baseline_fraction_jailbreak
2,38,0.2806578947368421,0.1868560654776437,0.017569911723234216,0.16928615375440947,1.370424543108259,1.4720583545918366,-0.10163381148357775,0.42291045614651274,0.5017812300701532,-0.07887077392364045,0.012632960364932106,0.017389336410833865,-0.0047563760459017595,0.17404252980031124,0.06760797586441512
6,38,0.2806578947368421,0.27094576898075284,0.028173407729791135,0.24277236125096172,1.4467856997535342,1.7929488201530615,-0.34616312039952724,0.3721453206879752,0.3948899872448979,-0.0227446665569227,0.022599626155126663,0.027234836500518177,-0.004635210345391515,0.24740757159635324,0.08341014602347258
10,38,0.2806578947368421,0.281248264019355,0.03027250572126739,0.2509757582980876,1.414044698079427,1.8043785873724492,-0.39033388929302215,0.3286761960812978,0.39842333112444195,-0.06974713504314417,0.02316947822414693,0.028918962089382872,-0.005749483865235942,0.25672524216332354,0.08238087550489716
14,38,0.2806578947368421,0.2702023528871082,0.030658157504334742,0.23954419538277347,1.4696444556826638,1.882075095663265,-0.41243063998060125,0.32175915581839426,0.41761748644770413,-0.09585833062930987,0.020331325985136487,0.02927743172159001,-0.008946105736453523,0.248490301119227,0.07524481473938538
16,38,0.2806578947368421,0.09596734605284361,0.008619844978817796,0.08734750107402582,0.9065400078183128,0.9209457708864797,-0.014405763068166877,0.27342995007832843,0.26999088209502553,0.0034390679833029014,0.007266150831821419,0.008368081267096329,-0.00110193043527491,0.08844943150930074,0.07571482520544409
18,38,0.2806578947368421,0.2508174507390885,0.02449101331282635,0.22632643742626216,1.3661079406738281,1.6894830197704085,-0.32337507909658036,0.23336432661328996,0.31214873644770413,-0.07878440983441418,0.017943426257088068,0.023579373651621296,-0.005635947394533228,0.2319623848207954,0.07153978403103067
20,38,0.2806578947368421,0.27013197399321054,0.0259059983856824,0.24422597560752815,1.467960176013765,1.7476482780612244,-0.2796881020474593,0.3831621805826823,0.4470887476084184,-0.06392656702573607,0.01989391871861049,0.02495699512715242,-0.005063076408541929,0.24928905201607007,0.0736451832211114
21,38,0.2806578947368421,0.20750376653103597,0.01918847220284598,0.18831529432819,1.371525355747768,1.5572983099489799,-0.18577295420121187,0.3540270896185012,0.4235179667570153,-0.0694908771385141,0.014153951690310524,0.018652974342813298,-0.004499022652502774,0.19281431698069276,0.06821057721953949
22,38,0.2806578947368421,0.22721263340541295,0.02121641197983099,0.20599622142558197,1.501121884300595,1.6879783163265305,-0.1868564320259356,0.4048213050478981,0.4962482063137754,-0.09142690126587733,0.015853609357561384,0.02075117461535395,-0.004897565257792565,0.21089378668337452,0.06977433041442713
23,38,0.2806578947368421,0.23995098153283745,0.022273797161725107,0.21767718437111233,1.4048098609561013,1.6627570950255102,-0.2579472340694089,0.34502094611525536,0.43448716766980233,-0.08946622155454698,0.016020061004729497,0.021701422272896283,-0.005681361268166787,0.22335854563927912,0.06676389028455439
