layer,head,score,separation,jailbreak_m_null,benign_m_null,jailbreak_n,benign_n
5,0,0.230593326143063,0.26258797297949,0.326577266652344,0.063989293672854,144,84
5,2,0.22868113916751653,0.25916839966047855,0.3201429206464026,0.06097452098592406,144,84
5,4,0.2250757477216659,0.2541328448661795,0.31224703915520674,0.05811419428902723,144,84
5,1,0.21981680261466416,0.24236018053396413,0.2874469363725641,0.045086755838599946,144,84
5,6,0.2184895454547442,0.24424387133377234,0.29575252309182865,0.051508651758056315,144,84
5,10,0.21556050890764694,0.23677432030856993,0.2792019431104159,0.042427622801845984,144,84
5,7,0.21546036559378817,0.24281105444034828,0.2975124321334685,0.05470137769312021,144,84
5,11,0.20599577320270268,0.22460141002629247,0.26181268367347205,0.03721127364717956,144,84
5,5,0.20478769715191447,0.22465616240879172,0.2643930929225462,0.03973693051375449,144,84
5,3,0.2035867686213423,0.2636856077246309,0.3838832859312081,0.12019767820657719,144,84
5,9,0.1897290115372189,0.2074924740313907,0.24301939901973432,0.0355269249883436,144,84
5,8,0.041256408596751046,0.04200209188742847,0.04349345846878331,0.001491366581354842,144,84
