target,group,n,mean_target,best_feature,best_abs_spearman,best_spearman
benign_utility_loss,thermo,24,0.6241286706069987,mean_spectral_gap,0.3203585565755075,0.3203585565755075
benign_utility_loss,simple,24,0.6241286706069987,risk,0.6874527477476462,-0.6874527477476462
all_utility_loss,thermo,48,0.6668874502417458,mean_m_null,0.4240680848004269,0.4240680848004269
all_utility_loss,simple,48,0.6668874502417458,risk,0.2354873229172636,0.2354873229172636
all_coherence,thermo,48,0.2910373863595613,mean_m_null,0.30746698295770986,-0.30746698295770986
all_coherence,simple,48,0.2910373863595613,semantic_mode,0.2527416672150333,0.2527416672150333
