baseline,bin_left,bin_right,bin_mid,count,mean_response,variance
null_attractor,0.0,0.10083333333333334,0.05041666666666667,13,0.07927269336286283,0.00013571082188391844
null_attractor,0.10083333333333334,0.2016666666666667,0.15125000000000002,5,0.07130135957232424,0.00024654898684969563
null_attractor,0.2016666666666667,0.30250000000000005,0.2520833333333334,7,0.06562363322547868,0.00030451956530338706
null_attractor,0.30250000000000005,0.4033333333333334,0.3529166666666667,3,0.0713864158345327,0.0001173757195834116
null_attractor,0.4033333333333334,0.5041666666666668,0.4537500000000001,2,0.14404827682100999,0.0002822734449270587
null_attractor,0.5041666666666668,0.6050000000000001,0.5545833333333334,3,0.8219252473450931,0.01664813841596277
null_attractor,0.6050000000000001,0.7058333333333334,0.6554166666666668,1,0.9987856835313857,0.0
null_attractor,0.7058333333333334,0.8066666666666668,0.7562500000000001,4,0.9992219940591072,1.3662901735811312e-07
threshold,0.0,0.10083333333333334,0.05041666666666667,13,0.0,0.0
threshold,0.10083333333333334,0.2016666666666667,0.15125000000000002,5,0.0,0.0
threshold,0.2016666666666667,0.30250000000000005,0.2520833333333334,7,0.7142857142857143,0.20408163265306123
threshold,0.30250000000000005,0.4033333333333334,0.3529166666666667,3,1.0,0.0
threshold,0.4033333333333334,0.5041666666666668,0.4537500000000001,2,1.0,0.0
threshold,0.5041666666666668,0.6050000000000001,0.5545833333333334,3,1.0,0.0
threshold,0.6050000000000001,0.7058333333333334,0.6554166666666668,1,1.0,0.0
threshold,0.7058333333333334,0.8066666666666668,0.7562500000000001,4,1.0,0.0
