risk_source,risk_threshold,eta_null,kappa,lambda_penalty,beta_base,beta_collapse,null_key_scale,null_value_scale,benign_complex_collapse,direct_jailbreak_collapse,obfuscated_jailbreak_collapse,long_context_jailbreak_collapse,jailbreak_collapse,score,mean_m_null_benign_complex,mean_m_null_jailbreak
surface,0.1,8.0,30.0,0.25,1.0,2.5,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5611976244158585,0.9999995944019934
surface,0.1,8.0,30.0,0.25,1.0,4.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5977130182832068,0.9999999999840985
surface,0.1,12.0,8.0,0.0,1.0,2.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9576206401779248,0.9999999362691265
surface,0.1,12.0,8.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9862150821227968,0.9999999999903371
surface,0.1,12.0,8.0,0.1,1.0,2.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9576768292545385,0.9999999394873846
surface,0.1,12.0,8.0,0.1,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9862206148939986,0.9999999999910655
surface,0.1,12.0,8.0,0.25,1.0,2.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9577598518022092,0.9999999440107489
surface,0.1,12.0,8.0,0.25,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9862287450182147,0.9999999999920566
surface,0.1,12.0,18.0,0.0,1.0,2.5,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.7770702612763069,0.9999999999124861
surface,0.1,12.0,18.0,0.0,1.0,4.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.800972366207819,1.0
surface,0.1,12.0,18.0,0.1,1.0,2.5,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.7773070775362206,0.9999999999192132
surface,0.1,12.0,18.0,0.1,1.0,4.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.8010437844166394,1.0
surface,0.1,12.0,18.0,0.25,1.0,2.5,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.7776584252887585,0.9999999999281215
surface,0.1,12.0,18.0,0.25,1.0,4.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.8011490958073826,1.0
surface,0.1,12.0,30.0,0.0,1.0,2.5,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.6717848523502254,0.9999999999734329
surface,0.1,12.0,30.0,0.0,1.0,4.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.7138838876771454,1.0
surface,0.1,12.0,30.0,0.1,1.0,2.5,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.6723477316072624,0.9999999999766843
surface,0.1,12.0,30.0,0.1,1.0,4.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.7143901764442474,1.0
surface,0.1,12.0,30.0,0.25,1.0,2.5,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.6731893544651204,0.9999999999807518
surface,0.1,12.0,30.0,0.25,1.0,4.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.7151429576308895,1.0
surface,0.1,20.0,8.0,0.0,1.0,2.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9988206166843249,0.9999999999998382
surface,0.1,20.0,8.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.9998814382255526,1.0
surface,0.1,20.0,8.0,0.1,1.0,2.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.998820772378098,0.9999999999998463
surface,0.1,20.0,8.0,0.1,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.25,0.99988143982463,1.0
