id,suite,label,risk,layer,head,null_bias,beta,m_null,entropy,psi,spectral_gap,head_selected,mix_alpha,phi_penalty_mean,null_value_norm
benign-1,benign,benign,0.08,5,0,0.15075159072875977,1.0565319061279297,0.051622405648231506,1.9992486238479614,-0.36352741718292236,0.6468874216079712,1.0,0.55,0.002245561918243766,4.597710132598877
benign-1,benign,benign,0.08,5,1,0.15075159072875977,1.0565319061279297,0.031831130385398865,1.7410775423049927,-0.47500258684158325,0.8529922962188721,1.0,0.55,0.002245561918243766,4.597710132598877
benign-1,benign,benign,0.08,5,2,0.15075159072875977,1.0565319061279297,0.0412227101624012,1.3264272212982178,-0.6074675917625427,0.7321571707725525,1.0,0.55,0.002245561918243766,4.597710132598877
benign-1,benign,benign,0.08,5,3,0.15075159072875977,1.0565319061279297,0.08226435631513596,2.029191017150879,-0.3072638511657715,0.4726177453994751,1.0,0.55,0.002245561918243766,4.597710132598877
benign-1,benign,benign,0.08,5,4,0.15075159072875977,1.0565319061279297,0.05665147677063942,1.3507134914398193,-0.6076425313949585,0.6979323625564575,1.0,0.55,0.002245561918243766,4.597710132598877
benign-1,benign,benign,0.08,5,5,0.15075159072875977,1.0565319061279297,0.014064469374716282,1.8581576347351074,-0.38609254360198975,0.7520149946212769,1.0,0.55,0.002245561918243766,4.597710132598877
benign-1,benign,benign,0.08,5,6,0.15075159072875977,1.0565319061279297,0.035914309322834015,1.36277174949646,-0.6171147227287292,0.8843053579330444,1.0,0.55,0.002245561918243766,4.597710132598877
benign-1,benign,benign,0.08,5,7,0.15075159072875977,1.0565319061279297,0.02817586250603199,1.872361421585083,-0.3946392238140106,0.7027032375335693,1.0,0.55,0.002245561918243766,4.597710132598877
benign-1,benign,benign,0.08,5,8,0.15075159072875977,1.0565319061279297,0.0031289723701775074,2.322037696838379,-0.2024386078119278,0.7197657227516174,1.0,0.55,0.002245561918243766,4.597710132598877
benign-1,benign,benign,0.08,5,9,0.15075159072875977,1.0565319061279297,0.022113628685474396,1.7773770093917847,-0.3939814567565918,0.837375283241272,1.0,0.55,0.002245561918243766,4.597710132598877
benign-1,benign,benign,0.08,5,10,0.15075159072875977,1.0565319061279297,0.04445838928222656,1.568717122077942,-0.5307249426841736,0.7530834674835205,1.0,0.55,0.002245561918243766,4.597710132598877
benign-1,benign,benign,0.08,5,11,0.15075159072875977,1.0565319061279297,0.03409772738814354,1.7005383968353271,-0.48017531633377075,0.6291290521621704,1.0,0.55,0.002245561918243766,4.597710132598877
benign-1,benign,benign,0.08,5,0,0.15075159072875977,1.0565319061279297,0.04222587123513222,1.1386463642120361,-0.7127111554145813,0.9468125104904175,1.0,0.55,0.0015354921342805028,4.4713850021362305
benign-1,benign,benign,0.08,5,1,0.15075159072875977,1.0565319061279297,0.031848158687353134,1.3130083084106445,-0.6759807467460632,0.9432768225669861,1.0,0.55,0.0015354921342805028,4.4713850021362305
benign-1,benign,benign,0.08,5,2,0.15075159072875977,1.0565319061279297,0.04038235545158386,0.8099377155303955,-0.790924072265625,0.9580918550491333,1.0,0.55,0.0015354921342805028,4.4713850021362305
benign-1,benign,benign,0.08,5,3,0.15075159072875977,1.0565319061279297,0.07387088984251022,1.4985275268554688,-0.5643743276596069,0.9262118935585022,1.0,0.55,0.0015354921342805028,4.4713850021362305
benign-1,benign,benign,0.08,5,4,0.15075159072875977,1.0565319061279297,0.04604283720254898,0.9604196548461914,-0.7391911149024963,0.9230496883392334,1.0,0.55,0.0015354921342805028,4.4713850021362305
benign-1,benign,benign,0.08,5,5,0.15075159072875977,1.0565319061279297,0.03005007654428482,1.2453370094299316,-0.6554874777793884,0.8639384508132935,1.0,0.55,0.0015354921342805028,4.4713850021362305
benign-1,benign,benign,0.08,5,6,0.15075159072875977,1.0565319061279297,0.034382596611976624,0.6595032215118408,-0.8375481367111206,0.9739990234375,1.0,0.55,0.0015354921342805028,4.4713850021362305
benign-1,benign,benign,0.08,5,7,0.15075159072875977,1.0565319061279297,0.04120214655995369,1.1679896116256714,-0.7097213864326477,0.9547863602638245,1.0,0.55,0.0015354921342805028,4.4713850021362305
benign-1,benign,benign,0.08,5,8,0.15075159072875977,1.0565319061279297,0.001072737155482173,1.119079351425171,-0.7439783811569214,0.9150105714797974,1.0,0.55,0.0015354921342805028,4.4713850021362305
benign-1,benign,benign,0.08,5,9,0.15075159072875977,1.0565319061279297,0.027044817805290222,0.7670475244522095,-0.8199588656425476,0.963343620300293,1.0,0.55,0.0015354921342805028,4.4713850021362305
benign-1,benign,benign,0.08,5,10,0.15075159072875977,1.0565319061279297,0.025117672979831696,1.0750802755355835,-0.7027232050895691,0.8661206960678101,1.0,0.55,0.0015354921342805028,4.4713850021362305
benign-1,benign,benign,0.08,5,11,0.15075159072875977,1.0565319061279297,0.018860960379242897,1.4251309633255005,-0.4427194893360138,0.6442347764968872,1.0,0.55,0.0015354921342805028,4.4713850021362305
benign-1,benign,benign,0.08,5,0,0.15075159072875977,1.0565319061279297,0.044301293790340424,1.6677464246749878,-0.5378716588020325,0.9132819771766663,1.0,0.55,0.0017624952597543597,4.376596927642822
benign-1,benign,benign,0.08,5,1,0.15075159072875977,1.0565319061279297,0.030753599479794502,1.596786379814148,-0.5877999067306519,0.9349690079689026,1.0,0.55,0.0017624952597543597,4.376596927642822
benign-1,benign,benign,0.08,5,2,0.15075159072875977,1.0565319061279297,0.04010183736681938,1.0474748611450195,-0.7323201298713684,0.959172785282135,1.0,0.55,0.0017624952597543597,4.376596927642822
