step      0 | train 0.019 val 0.018 | C_attn 0.1057 H_attn 1.0281 PR 22.20 Sspec 3.8146
step    100 | train 0.972 val 0.477 | C_attn 0.0055 H_attn 0.6925 PR 14.28 Sspec 3.7914
step    200 | train 0.994 val 0.488 | C_attn 0.0112 H_attn 0.6936 PR 14.55 Sspec 3.7776
step    300 | train 0.998 val 0.488 | C_attn 0.0164 H_attn 0.6944 PR 14.49 Sspec 3.7600
step    400 | train 1.000 val 0.488 | C_attn 0.0194 H_attn 0.6949 PR 14.31 Sspec 3.7411
step    500 | train 1.000 val 0.488 | C_attn 0.0185 H_attn 0.6948 PR 14.16 Sspec 3.7241
step    600 | train 1.000 val 0.494 | C_attn 0.0191 H_attn 0.6949 PR 14.00 Sspec 3.7095
step    700 | train 1.000 val 0.494 | C_attn 0.0196 H_attn 0.6951 PR 13.82 Sspec 3.6969
step    800 | train 1.000 val 0.498 | C_attn 0.0196 H_attn 0.6951 PR 13.55 Sspec 3.6859
step    900 | train 1.000 val 0.504 | C_attn 0.0193 H_attn 0.6951 PR 13.31 Sspec 3.6758
step   1000 | train 1.000 val 0.504 | C_attn 0.0192 H_attn 0.6951 PR 12.99 Sspec 3.6661
step   1100 | train 1.000 val 0.504 | C_attn 0.0202 H_attn 0.6953 PR 12.68 Sspec 3.6567
step   1200 | train 1.000 val 0.504 | C_attn 0.0224 H_attn 0.6957 PR 12.49 Sspec 3.6471
step   1300 | train 1.000 val 0.506 | C_attn 0.0241 H_attn 0.6961 PR 12.39 Sspec 3.6360
step   1400 | train 1.000 val 0.514 | C_attn 0.0255 H_attn 0.6963 PR 12.43 Sspec 3.6225
step   1500 | train 1.000 val 0.523 | C_attn 0.0267 H_attn 0.6967 PR 12.43 Sspec 3.6063
step   1600 | train 1.000 val 0.533 | C_attn 0.0291 H_attn 0.6973 PR 12.33 Sspec 3.5883
step   1700 | train 1.000 val 0.543 | C_attn 0.0318 H_attn 0.6980 PR 12.15 Sspec 3.5698
step   1800 | train 1.000 val 0.561 | C_attn 0.0360 H_attn 0.6991 PR 12.03 Sspec 3.5515
step   1900 | train 1.000 val 0.588 | C_attn 0.0381 H_attn 0.6997 PR 11.95 Sspec 3.5333
step   2000 | train 1.000 val 0.625 | C_attn 0.0414 H_attn 0.7007 PR 11.83 Sspec 3.5143
step   2100 | train 1.000 val 0.684 | C_attn 0.0432 H_attn 0.7013 PR 11.69 Sspec 3.4933
step   2200 | train 1.000 val 0.783 | C_attn 0.0427 H_attn 0.7011 PR 11.61 Sspec 3.4702
step   2300 | train 1.000 val 0.871 | C_attn 0.0436 H_attn 0.7012 PR 11.45 Sspec 3.4438
step   2400 | train 1.000 val 0.941 | C_attn 0.0479 H_attn 0.7024 PR 11.21 Sspec 3.4139
step   2500 | train 1.000 val 0.975 | C_attn 0.0513 H_attn 0.7033 PR 10.95 Sspec 3.3810
step   2600 | train 1.000 val 0.988 | C_attn 0.0504 H_attn 0.7031 PR 10.46 Sspec 3.3445
step   2700 | train 1.000 val 0.998 | C_attn 0.0390 H_attn 0.7002 PR 7.33 Sspec 3.2969
step   2800 | train 1.000 val 0.980 | C_attn 0.0735 H_attn 0.7105 PR 6.34 Sspec 3.2680
step   2900 | train 1.000 val 0.998 | C_attn 0.0510 H_attn 0.7031 PR 8.56 Sspec 3.2646
step   3000 | train 1.000 val 0.998 | C_attn 0.0462 H_attn 0.7019 PR 9.24 Sspec 3.2613
step   3100 | train 1.000 val 0.998 | C_attn 0.0512 H_attn 0.7032 PR 8.67 Sspec 3.2576
step   3200 | train 1.000 val 0.996 | C_attn 0.0547 H_attn 0.7042 PR 8.07 Sspec 3.2503
step   3300 | train 1.000 val 0.996 | C_attn 0.0563 H_attn 0.7045 PR 7.65 Sspec 3.2394
step   3400 | train 1.000 val 0.998 | C_attn 0.0564 H_attn 0.7046 PR 7.34 Sspec 3.2269
step   3500 | train 1.000 val 0.998 | C_attn 0.0561 H_attn 0.7045 PR 7.11 Sspec 3.2153
step   3600 | train 1.000 val 1.000 | C_attn 0.0562 H_attn 0.7045 PR 6.90 Sspec 3.2063
step   3700 | train 1.000 val 1.000 | C_attn 0.0579 H_attn 0.7050 PR 6.73 Sspec 3.2003
step   3800 | train 1.000 val 1.000 | C_attn 0.0615 H_attn 0.7060 PR 6.59 Sspec 3.1972
step   3900 | train 1.000 val 1.000 | C_attn 0.0670 H_attn 0.7076 PR 6.53 Sspec 3.1954
step   4000 | train 1.000 val 1.000 | C_attn 0.0725 H_attn 0.7093 PR 6.55 Sspec 3.1928
step   4100 | train 1.000 val 1.000 | C_attn 0.0745 H_attn 0.7100 PR 6.64 Sspec 3.1860
step   4200 | train 1.000 val 1.000 | C_attn 0.0722 H_attn 0.7093 PR 6.75 Sspec 3.1716
step   4300 | train 1.000 val 1.000 | C_attn 0.0658 H_attn 0.7074 PR 6.95 Sspec 3.1471
step   4400 | train 1.000 val 1.000 | C_attn 0.0522 H_attn 0.7038 PR 7.19 Sspec 3.1017
step   4500 | train 1.000 val 0.998 | C_attn 0.0732 H_attn 0.7114 PR 5.45 Sspec 3.0513
step   4600 | train 1.000 val 1.000 | C_attn 0.0807 H_attn 0.7126 PR 6.80 Sspec 3.0453
step   4700 | train 1.000 val 1.000 | C_attn 0.0525 H_attn 0.7037 PR 7.11 Sspec 3.0291
step   4800 | train 1.000 val 1.000 | C_attn 0.0523 H_attn 0.7036 PR 6.94 Sspec 3.0157
step   4900 | train 1.000 val 1.000 | C_attn 0.0520 H_attn 0.7035 PR 6.68 Sspec 3.0041
step   5000 | train 1.000 val 1.000 | C_attn 0.0521 H_attn 0.7035 PR 6.40 Sspec 2.9947
step   5100 | train 1.000 val 1.000 | C_attn 0.0521 H_attn 0.7035 PR 6.20 Sspec 2.9874
step   5200 | train 1.000 val 1.000 | C_attn 0.0520 H_attn 0.7035 PR 6.06 Sspec 2.9823
step   5300 | train 1.000 val 1.000 | C_attn 0.0525 H_attn 0.7036 PR 5.97 Sspec 2.9799
step   5400 | train 1.000 val 1.000 | C_attn 0.0542 H_attn 0.7040 PR 5.92 Sspec 2.9812
step   5500 | train 1.000 val 1.000 | C_attn 0.0574 H_attn 0.7048 PR 5.90 Sspec 2.9860
step   5600 | train 1.000 val 1.000 | C_attn 0.0624 H_attn 0.7063 PR 5.91 Sspec 2.9934
step   5700 | train 1.000 val 1.000 | C_attn 0.0681 H_attn 0.7079 PR 5.96 Sspec 3.0025
step   5800 | train 1.000 val 1.000 | C_attn 0.0719 H_attn 0.7091 PR 6.07 Sspec 3.0120
step   5900 | train 1.000 val 1.000 | C_attn 0.0734 H_attn 0.7096 PR 6.20 Sspec 3.0186
step   6000 | train 1.000 val 1.000 | C_attn 0.0727 H_attn 0.7094 PR 6.30 Sspec 3.0215
step   6100 | train 1.000 val 1.000 | C_attn 0.0694 H_attn 0.7085 PR 6.45 Sspec 3.0186
step   6200 | train 1.000 val 1.000 | C_attn 0.0571 H_attn 0.7051 PR 6.58 Sspec 2.9986
step   6300 | train 1.000 val 0.996 | C_attn 0.0944 H_attn 0.7215 PR 5.20 Sspec 2.9564
step   6400 | train 1.000 val 1.000 | C_attn 0.0936 H_attn 0.7168 PR 6.31 Sspec 2.9554
step   6500 | train 1.000 val 1.000 | C_attn 0.0525 H_attn 0.7034 PR 6.43 Sspec 2.9485
