suite,bin_left,bin_right,bin_mid,count,mean,variance
benign,0.0014478990032027166,0.05109378636302427,0.026270842683113495,2.0,0.03598096088764366,3.1333668819679265e-06
benign,0.05109378636302427,0.10073967372284583,0.07591673004293505,1.0,0.0493370048909072,0.0
benign,0.10073967372284583,0.15038556108266737,0.1255626174027566,1.0,0.056211856016645446,0.0
benign,0.15038556108266737,0.20003144844248893,0.17520850476257815,0.0,0.0,0.0
benign,0.20003144844248893,0.2496773358023105,0.22485439212239972,0.0,0.0,0.0
benign,0.2496773358023105,0.299323223162132,0.2745002794822212,0.0,0.0,0.0
benign,0.299323223162132,0.34896911052195356,0.3241461668420428,0.0,0.0,0.0
benign,0.34896911052195356,0.3986149978817751,0.37379205420186434,0.0,0.0,0.0
benign_complex,0.0014478990032027166,0.05109378636302427,0.026270842683113495,2.0,0.0375303487953524,9.83905670426609e-06
benign_complex,0.05109378636302427,0.10073967372284583,0.07591673004293505,1.0,0.02612666471143056,0.0
benign_complex,0.10073967372284583,0.15038556108266737,0.1255626174027566,1.0,0.03939595990868723,0.0
benign_complex,0.15038556108266737,0.20003144844248893,0.17520850476257815,0.0,0.0,0.0
benign_complex,0.20003144844248893,0.2496773358023105,0.22485439212239972,0.0,0.0,0.0
benign_complex,0.2496773358023105,0.299323223162132,0.2745002794822212,0.0,0.0,0.0
benign_complex,0.299323223162132,0.34896911052195356,0.3241461668420428,0.0,0.0,0.0
benign_complex,0.34896911052195356,0.3986149978817751,0.37379205420186434,0.0,0.0,0.0
direct_jailbreak,0.0014478990032027166,0.05109378636302427,0.026270842683113495,0.0,0.0,0.0
direct_jailbreak,0.05109378636302427,0.10073967372284583,0.07591673004293505,0.0,0.0,0.0
direct_jailbreak,0.10073967372284583,0.15038556108266737,0.1255626174027566,0.0,0.0,0.0
direct_jailbreak,0.15038556108266737,0.20003144844248893,0.17520850476257815,0.0,0.0,0.0
direct_jailbreak,0.20003144844248893,0.2496773358023105,0.22485439212239972,0.0,0.0,0.0
direct_jailbreak,0.2496773358023105,0.299323223162132,0.2745002794822212,1.0,0.03592573017519273,0.0
direct_jailbreak,0.299323223162132,0.34896911052195356,0.3241461668420428,0.0,0.0,0.0
direct_jailbreak,0.34896911052195356,0.3986149978817751,0.37379205420186434,3.0,0.049159142044485536,8.848397246767011e-05
long_context_jailbreak,0.0014478990032027166,0.05109378636302427,0.026270842683113495,0.0,0.0,0.0
long_context_jailbreak,0.05109378636302427,0.10073967372284583,0.07591673004293505,0.0,0.0,0.0
long_context_jailbreak,0.10073967372284583,0.15038556108266737,0.1255626174027566,0.0,0.0,0.0
long_context_jailbreak,0.15038556108266737,0.20003144844248893,0.17520850476257815,1.0,0.023251099696051183,0.0
long_context_jailbreak,0.20003144844248893,0.2496773358023105,0.22485439212239972,1.0,0.02216290436782673,0.0
long_context_jailbreak,0.2496773358023105,0.299323223162132,0.2745002794822212,0.0,0.0,0.0
long_context_jailbreak,0.299323223162132,0.34896911052195356,0.3241461668420428,0.0,0.0,0.0
long_context_jailbreak,0.34896911052195356,0.3986149978817751,0.37379205420186434,2.0,0.026108245411470388,1.177493807736717e-05
many_shot_jailbreak,0.0014478990032027166,0.05109378636302427,0.026270842683113495,0.0,0.0,0.0
many_shot_jailbreak,0.05109378636302427,0.10073967372284583,0.07591673004293505,1.0,0.03122299938293389,0.0
many_shot_jailbreak,0.10073967372284583,0.15038556108266737,0.1255626174027566,2.0,0.026705600100713506,3.658825410709285e-06
many_shot_jailbreak,0.15038556108266737,0.20003144844248893,0.17520850476257815,3.0,0.025609943224010612,5.065737711221376e-05
many_shot_jailbreak,0.20003144844248893,0.2496773358023105,0.22485439212239972,0.0,0.0,0.0
many_shot_jailbreak,0.2496773358023105,0.299323223162132,0.2745002794822212,0.0,0.0,0.0
many_shot_jailbreak,0.299323223162132,0.34896911052195356,0.3241461668420428,0.0,0.0,0.0
many_shot_jailbreak,0.34896911052195356,0.3986149978817751,0.37379205420186434,0.0,0.0,0.0
obfuscated_jailbreak,0.0014478990032027166,0.05109378636302427,0.026270842683113495,0.0,0.0,0.0
obfuscated_jailbreak,0.05109378636302427,0.10073967372284583,0.07591673004293505,0.0,0.0,0.0
obfuscated_jailbreak,0.10073967372284583,0.15038556108266737,0.1255626174027566,0.0,0.0,0.0
obfuscated_jailbreak,0.15038556108266737,0.20003144844248893,0.17520850476257815,1.0,0.029060170689031353,0.0
obfuscated_jailbreak,0.20003144844248893,0.2496773358023105,0.22485439212239972,1.0,0.03023705671552226,0.0
obfuscated_jailbreak,0.2496773358023105,0.299323223162132,0.2745002794822212,0.0,0.0,0.0
obfuscated_jailbreak,0.299323223162132,0.34896911052195356,0.3241461668420428,2.0,0.026455076900646274,1.4206954939657072e-06
obfuscated_jailbreak,0.34896911052195356,0.3986149978817751,0.37379205420186434,0.0,0.0,0.0
paraphrased_adversarial,0.0014478990032027166,0.05109378636302427,0.026270842683113495,0.0,0.0,0.0
paraphrased_adversarial,0.05109378636302427,0.10073967372284583,0.07591673004293505,2.0,0.02678967944099214,2.5326372095366257e-06
paraphrased_adversarial,0.10073967372284583,0.15038556108266737,0.1255626174027566,3.0,0.0305943594387188,1.2193225804991873e-05
paraphrased_adversarial,0.15038556108266737,0.20003144844248893,0.17520850476257815,1.0,0.036869653179556,0.0
paraphrased_adversarial,0.20003144844248893,0.2496773358023105,0.22485439212239972,0.0,0.0,0.0
paraphrased_adversarial,0.2496773358023105,0.299323223162132,0.2745002794822212,0.0,0.0,0.0
paraphrased_adversarial,0.299323223162132,0.34896911052195356,0.3241461668420428,0.0,0.0,0.0
paraphrased_adversarial,0.34896911052195356,0.3986149978817751,0.37379205420186434,0.0,0.0,0.0
safety_research,0.0014478990032027166,0.05109378636302427,0.026270842683113495,3.0,0.03332514012475133,4.979617615314812e-06
safety_research,0.05109378636302427,0.10073967372284583,0.07591673004293505,1.0,0.05259947957443775,0.0
safety_research,0.10073967372284583,0.15038556108266737,0.1255626174027566,0.0,0.0,0.0
safety_research,0.15038556108266737,0.20003144844248893,0.17520850476257815,2.0,0.036215099181800214,4.3716174607158506e-08
safety_research,0.20003144844248893,0.2496773358023105,0.22485439212239972,0.0,0.0,0.0
safety_research,0.2496773358023105,0.299323223162132,0.2745002794822212,0.0,0.0,0.0
safety_research,0.299323223162132,0.34896911052195356,0.3241461668420428,0.0,0.0,0.0
safety_research,0.34896911052195356,0.3986149978817751,0.37379205420186434,0.0,0.0,0.0
