layer,n,mean_risk,jailbreak_m_null,benign_m_null,sep_m_null,jailbreak_entropy,benign_entropy,sep_entropy,jailbreak_spectral_gap,benign_spectral_gap,sep_spectral_gap
2,38,0.2806578947368421,4.63165356944118e-08,8.937838960206244e-09,3.737869673420556e-08,1.805943080357143,1.439473054846939,0.366470025510204,0.4991538638160342,0.5047183912627552,-0.005564527446720979
6,38,0.2806578947368421,0.3561595749703148,0.3774970267063044,-0.02133745173598961,1.5075509207589282,1.277637715242347,0.22991320551658112,0.4512576148623512,0.3981559909119898,0.05310162395036144
10,38,0.2806578947368421,0.4123377118791853,0.48671551139987246,-0.07437779952068718,1.5606020972842263,1.2590581154336733,0.301543981850553,0.41621312640962144,0.4011923342334981,0.015020792176123343
14,38,0.2806578947368421,0.09574586578777859,0.11388557784411373,-0.018139712056335133,2.042131696428571,1.8089923469387756,0.23313934948979553,0.42163739885602675,0.4216657366071428,-2.8337751116047638e-05
16,38,0.2806578947368421,0.05709362051094927,0.10181682465636001,-0.04472320414541074,1.2720017206101193,0.9742904974489798,0.2977112231611395,0.3096059163411458,0.27139581952776226,0.038210096813383554
18,38,0.2806578947368421,0.386669363294329,0.4180500264070472,-0.0313806631127182,1.4576575869605655,1.2270283601721936,0.23062922678837183,0.3233591715494792,0.31584821428571436,0.007510957263764828
20,38,0.2806578947368421,0.35169437953404015,0.4186868472975127,-0.06699246776347256,1.7271802993047807,1.4018547680913187,0.32532553121346197,0.4772280738467262,0.45033233019770413,0.026895743649022086
21,38,0.2806578947368421,0.5534849848066057,0.647623568165059,-0.09413858335845326,1.1959751674107142,0.8462711256377551,0.3497040417729591,0.463425772530692,0.42564298668686223,0.03778278584382977
22,38,0.2806578947368421,0.0001120388645912975,0.00010650702253250139,5.5318420587961026e-06,1.9897925967261905,1.6457669005102038,0.34402569621598666,0.5251319521949406,0.500351263552296,0.0247806886426446
23,38,0.2806578947368421,0.008013411867610079,0.008015828094174237,-2.416226564157936e-06,1.9151320684523807,1.6298628826530612,0.2852691857993195,0.4556658154442197,0.4381620446029975,0.017503770841222177
