step,train_acc,val_acc,attn_specific_heat,attn_entropy,repr_participation_ratio,weight_spectral_entropy
0,0.0226,0.0371,0.025552,1.084787,21.7871,3.815927
100,0.9665,0.4512,0.00142,0.693102,17.7189,3.798595
200,0.9882,0.4648,0.007782,0.693978,18.4433,3.786663
300,0.9991,0.4648,0.009189,0.69427,19.1303,3.772461
400,1.0,0.4707,0.010224,0.694458,19.3523,3.757685
500,1.0,0.4727,0.010578,0.694524,19.464,3.744729
600,1.0,0.4727,0.010907,0.694592,19.4978,3.733224
700,1.0,0.4727,0.010957,0.694603,19.511,3.723043
800,1.0,0.4707,0.010904,0.694588,19.49,3.714132
900,1.0,0.4707,0.010181,0.694427,19.4463,3.706409
1000,1.0,0.4727,0.009357,0.694265,19.4295,3.699946
1100,1.0,0.4727,0.009299,0.694251,19.437,3.694459
1200,1.0,0.4727,0.009255,0.694252,19.4996,3.689418
1300,1.0,0.4727,0.008897,0.694192,19.5903,3.683975
1400,1.0,0.4727,0.008406,0.694112,19.7376,3.677566
1500,1.0,0.4727,0.008172,0.694077,19.9266,3.670235
1600,1.0,0.4727,0.007924,0.694032,20.132,3.662819
1700,1.0,0.4727,0.007903,0.69402,20.3183,3.655853
1800,1.0,0.4727,0.008046,0.694049,20.4449,3.64904
1900,1.0,0.4746,0.007958,0.694046,20.4232,3.641742
2000,1.0,0.4746,0.007906,0.694039,19.6608,3.632748
2100,1.0,0.4746,0.007468,0.693963,13.996,3.619987
2200,1.0,0.4766,0.006054,0.693741,3.5574,3.603734
2300,1.0,0.4766,0.015556,0.695393,7.2012,3.601472
2400,1.0,0.4766,0.009376,0.694314,13.6366,3.598539
2500,1.0,0.4766,0.010304,0.694449,18.7695,3.5955
2600,1.0,0.4746,0.009572,0.694303,19.8291,3.591818
2700,1.0,0.4746,0.008985,0.69418,19.6802,3.588788
2800,1.0,0.4746,0.008456,0.694068,19.3452,3.587154
2900,1.0,0.4746,0.007801,0.693938,19.1248,3.586835
3000,1.0,0.4746,0.007729,0.693912,19.03,3.587633
3100,1.0,0.4746,0.007955,0.693941,18.9945,3.589143
3200,1.0,0.4766,0.008498,0.694046,19.0084,3.59117
3300,1.0,0.4766,0.009372,0.694189,19.1375,3.593325
3400,1.0,0.4766,0.010187,0.694318,19.3204,3.595306
3500,1.0,0.4805,0.010383,0.694351,19.6777,3.59707
3600,1.0,0.4844,0.009939,0.694284,20.0695,3.597979
3700,1.0,0.4863,0.009531,0.694215,20.4631,3.596406
3800,1.0,0.4863,0.009455,0.694197,20.6675,3.590495
3900,1.0,0.4863,0.00992,0.694259,20.2979,3.580801
4000,1.0,0.4902,0.010262,0.694331,18.6041,3.568619
4100,1.0,0.4902,0.010043,0.694295,12.7061,3.551039
4200,1.0,0.4922,0.008604,0.694032,3.8916,3.527543
4300,1.0,0.498,0.018723,0.695763,5.9112,3.516678
4400,1.0,0.5078,0.01341,0.694766,10.2494,3.507574
4500,1.0,0.5156,0.016385,0.695268,15.1446,3.497634
4600,1.0,0.5234,0.017073,0.695403,17.5098,3.48939
4700,1.0,0.5391,0.017402,0.695471,17.7163,3.482684
4800,1.0,0.5625,0.01675,0.695364,16.8615,3.477407
4900,1.0,0.5723,0.016494,0.695322,15.7491,3.473084
5000,1.0,0.6016,0.017006,0.695411,14.6741,3.469286
5100,1.0,0.627,0.018661,0.69573,13.7245,3.465052
5200,1.0,0.6836,0.021521,0.69632,12.8834,3.460085
5300,1.0,0.7266,0.026011,0.697292,12.2164,3.453677
5400,1.0,0.7695,0.031697,0.698576,11.683,3.445061
5500,1.0,0.8086,0.037862,0.70002,11.2265,3.432703
5600,1.0,0.8535,0.043416,0.701381,10.8218,3.416051
5700,1.0,0.9043,0.048208,0.702556,10.4108,3.394804
5800,1.0,0.9355,0.051123,0.703275,9.8782,3.37026
5900,1.0,0.9512,0.053064,0.703784,9.1896,3.342948
6000,1.0,0.959,0.050337,0.70309,7.4031,3.307983
6100,1.0,0.9609,0.038996,0.700339,3.2467,3.260075
6200,1.0,0.9629,0.128955,0.731606,4.3791,3.244976
6300,1.0,0.9688,0.054962,0.704305,5.7802,3.232128
6400,1.0,0.9785,0.056297,0.704748,7.3776,3.218564
6500,1.0,0.9805,0.059663,0.705726,7.8538,3.205817
6600,1.0,0.9883,0.061626,0.706281,7.3536,3.191999
6700,1.0,0.9922,0.060985,0.706098,6.7035,3.175302
6800,1.0,0.9922,0.05953,0.705707,6.2302,3.157063
6900,1.0,0.9922,0.058501,0.705419,5.9077,3.139506
7000,1.0,0.9922,0.058899,0.705548,5.6636,3.124331
7100,1.0,0.9961,0.060962,0.706145,5.4951,3.11271
7200,1.0,0.9961,0.064735,0.707256,5.3879,3.104725
7300,1.0,1.0,0.068364,0.708354,5.3228,3.099361
7400,1.0,1.0,0.070392,0.708973,5.3198,3.095019
7500,1.0,1.0,0.069953,0.708862,5.3492,3.08718
7600,1.0,1.0,0.067687,0.708177,5.3866,3.068556
7700,1.0,1.0,0.055056,0.704536,5.3481,3.023679
7800,1.0,0.9863,0.086838,0.716399,5.0288,2.953555
7900,1.0,1.0,0.112396,0.724299,5.4943,2.948482
8000,1.0,1.0,0.064557,0.70716,5.5981,2.93014
