step      0 | train 0.023 val 0.037 | C_attn 0.0256 H_attn 1.0848 PR 21.79 Sspec 3.8159
step    100 | train 0.966 val 0.451 | C_attn 0.0014 H_attn 0.6931 PR 17.72 Sspec 3.7986
step    200 | train 0.988 val 0.465 | C_attn 0.0078 H_attn 0.6940 PR 18.44 Sspec 3.7867
step    300 | train 0.999 val 0.465 | C_attn 0.0092 H_attn 0.6943 PR 19.13 Sspec 3.7725
step    400 | train 1.000 val 0.471 | C_attn 0.0102 H_attn 0.6945 PR 19.35 Sspec 3.7577
step    500 | train 1.000 val 0.473 | C_attn 0.0106 H_attn 0.6945 PR 19.46 Sspec 3.7447
step    600 | train 1.000 val 0.473 | C_attn 0.0109 H_attn 0.6946 PR 19.50 Sspec 3.7332
step    700 | train 1.000 val 0.473 | C_attn 0.0110 H_attn 0.6946 PR 19.51 Sspec 3.7230
step    800 | train 1.000 val 0.471 | C_attn 0.0109 H_attn 0.6946 PR 19.49 Sspec 3.7141
step    900 | train 1.000 val 0.471 | C_attn 0.0102 H_attn 0.6944 PR 19.45 Sspec 3.7064
step   1000 | train 1.000 val 0.473 | C_attn 0.0094 H_attn 0.6943 PR 19.43 Sspec 3.6999
step   1100 | train 1.000 val 0.473 | C_attn 0.0093 H_attn 0.6943 PR 19.44 Sspec 3.6945
step   1200 | train 1.000 val 0.473 | C_attn 0.0093 H_attn 0.6943 PR 19.50 Sspec 3.6894
step   1300 | train 1.000 val 0.473 | C_attn 0.0089 H_attn 0.6942 PR 19.59 Sspec 3.6840
step   1400 | train 1.000 val 0.473 | C_attn 0.0084 H_attn 0.6941 PR 19.74 Sspec 3.6776
step   1500 | train 1.000 val 0.473 | C_attn 0.0082 H_attn 0.6941 PR 19.93 Sspec 3.6702
step   1600 | train 1.000 val 0.473 | C_attn 0.0079 H_attn 0.6940 PR 20.13 Sspec 3.6628
step   1700 | train 1.000 val 0.473 | C_attn 0.0079 H_attn 0.6940 PR 20.32 Sspec 3.6559
step   1800 | train 1.000 val 0.473 | C_attn 0.0080 H_attn 0.6940 PR 20.44 Sspec 3.6490
step   1900 | train 1.000 val 0.475 | C_attn 0.0080 H_attn 0.6940 PR 20.42 Sspec 3.6417
step   2000 | train 1.000 val 0.475 | C_attn 0.0079 H_attn 0.6940 PR 19.66 Sspec 3.6327
step   2100 | train 1.000 val 0.475 | C_attn 0.0075 H_attn 0.6940 PR 14.00 Sspec 3.6200
step   2200 | train 1.000 val 0.477 | C_attn 0.0061 H_attn 0.6937 PR 3.56 Sspec 3.6037
step   2300 | train 1.000 val 0.477 | C_attn 0.0156 H_attn 0.6954 PR 7.20 Sspec 3.6015
step   2400 | train 1.000 val 0.477 | C_attn 0.0094 H_attn 0.6943 PR 13.64 Sspec 3.5985
step   2500 | train 1.000 val 0.477 | C_attn 0.0103 H_attn 0.6944 PR 18.77 Sspec 3.5955
step   2600 | train 1.000 val 0.475 | C_attn 0.0096 H_attn 0.6943 PR 19.83 Sspec 3.5918
step   2700 | train 1.000 val 0.475 | C_attn 0.0090 H_attn 0.6942 PR 19.68 Sspec 3.5888
step   2800 | train 1.000 val 0.475 | C_attn 0.0085 H_attn 0.6941 PR 19.35 Sspec 3.5872
step   2900 | train 1.000 val 0.475 | C_attn 0.0078 H_attn 0.6939 PR 19.12 Sspec 3.5868
step   3000 | train 1.000 val 0.475 | C_attn 0.0077 H_attn 0.6939 PR 19.03 Sspec 3.5876
step   3100 | train 1.000 val 0.475 | C_attn 0.0080 H_attn 0.6939 PR 18.99 Sspec 3.5891
step   3200 | train 1.000 val 0.477 | C_attn 0.0085 H_attn 0.6940 PR 19.01 Sspec 3.5912
step   3300 | train 1.000 val 0.477 | C_attn 0.0094 H_attn 0.6942 PR 19.14 Sspec 3.5933
step   3400 | train 1.000 val 0.477 | C_attn 0.0102 H_attn 0.6943 PR 19.32 Sspec 3.5953
step   3500 | train 1.000 val 0.480 | C_attn 0.0104 H_attn 0.6944 PR 19.68 Sspec 3.5971
step   3600 | train 1.000 val 0.484 | C_attn 0.0099 H_attn 0.6943 PR 20.07 Sspec 3.5980
step   3700 | train 1.000 val 0.486 | C_attn 0.0095 H_attn 0.6942 PR 20.46 Sspec 3.5964
step   3800 | train 1.000 val 0.486 | C_attn 0.0095 H_attn 0.6942 PR 20.67 Sspec 3.5905
step   3900 | train 1.000 val 0.486 | C_attn 0.0099 H_attn 0.6943 PR 20.30 Sspec 3.5808
