layer,head,score,separation,jailbreak_m_null,benign_m_null,jailbreak_n,benign_n
16,10,0.3677332861795245,0.39596769999618464,0.4336135850850648,0.03764588508888015,96,56
16,14,0.35150018710798275,0.38886119755140197,0.4386758781426276,0.049814680591225624,96,56
16,7,0.34585335658630356,0.3824666860496758,0.43128445866750553,0.0488177726178297,96,56
16,0,0.34402332522828755,0.3892271127108307,0.44949882935422164,0.06027171664339091,96,56
16,13,0.34368217598239426,0.37751179937289897,0.42261796389357187,0.04510616452067292,96,56
16,11,0.3372766845859587,0.3878759818450947,0.45534171152394265,0.06746572967884797,96,56
16,12,0.33174546641142416,0.38367781030025244,0.4529209354853568,0.06924312518510435,96,56
16,2,0.3289215556966762,0.37860061243797344,0.4448393547597031,0.06623874232172966,96,56
16,9,0.32819570853219676,0.3799685052141458,0.4489989007900779,0.06903039557593209,96,56
16,15,0.32632095795634086,0.3473837598222807,0.37546749564353377,0.02808373582125309,96,56
16,3,0.31740320920168114,0.3765697354073858,0.45545843701499206,0.07888870160760623,96,56
16,1,0.2974199107848108,0.372150010828461,0.47179014421999454,0.09964013339153358,96,56
16,8,0.29162856449450675,0.36673860463391367,0.46688532481978956,0.10014672018587589,96,56
16,4,0.26786327543474425,0.28578474501652334,0.3096800377922288,0.023895292775705457,96,56
16,5,0.12545780353805944,0.1346834272680142,0.14698425890795383,0.012300831639939653,96,56
16,6,0.0483219541298846,0.24698965047441773,0.5118799122671286,0.26489026179271086,96,56
