layer,n,mean_risk,jailbreak_m_null,benign_m_null,sep_m_null,jailbreak_entropy,benign_entropy,sep_entropy,jailbreak_spectral_gap,benign_spectral_gap,sep_spectral_gap
0,38,0.2806578947368421,0.35149946749818134,0.1395449966297736,0.21195447086840774,1.2759335615271035,1.751447738724805,-0.4755141771977016,0.4576220824900601,0.5459294510739191,-0.08830736858385901
1,38,0.2806578947368421,0.464113815081267,0.20773398183241842,0.25637983324884855,1.4487908897642872,1.9874155727170764,-0.5386246829527892,0.6721614092174505,0.7307557339469593,-0.05859432472950876
2,38,0.2806578947368421,0.5297372606376535,0.2808444357308092,0.24889282490684428,1.198311728883002,1.753829919866153,-0.555518190983151,0.5762560992605157,0.6151499457302547,-0.038893846469739035
3,38,0.2806578947368421,0.5025049323513587,0.19497106553587526,0.30753386681548345,1.1445070988548751,1.7033066788599602,-0.5587995800050851,0.7209512581013972,0.7042140957145465,0.016737162386850635
4,38,0.2806578947368421,0.4205048664330711,0.11691628967500513,0.303588576758066,1.1496343761737078,1.4330851985585122,-0.28345082238480446,0.7712877309984632,0.7619130547557559,0.00937467624270727
5,38,0.2806578947368421,0.3231056822761376,0.04612973749975762,0.27697594477638,1.4572935663357687,1.8215936021435828,-0.3643000358078141,0.7232933005111085,0.6958763386522021,0.027416961858906408
