path,model,layer,heads,length,n_examples,baseline_accuracy,baseline_margin,baseline_source_mass,source_max_accuracy_delta,source_max_margin_delta,source_max_source_mass_delta,source_max_max_invariant_error,source_min_accuracy_delta,source_min_margin_delta,source_min_source_mass_delta,source_min_max_invariant_error,distractor_control_accuracy_delta,distractor_control_margin_delta,distractor_control_source_mass_delta,distractor_control_max_invariant_error
results\lengthgen\pretrained_causal_smoke\pretrained_causal_routing_results.json,EleutherAI/pythia-70m,3,2,3,4,0.5,0.281494140625,0.6756784617900848,0.25,0.10577392578125,0.12287820875644684,5.960464477539063e-08,-0.5,-1.785430908203125,-0.6756784600053399,1.1920928955078125e-07,0.0,0.021484375,0.0,1.1920928955078125e-07
results\lengthgen\pretrained_causal_smoke\pretrained_causal_routing_results.json,EleutherAI/pythia-70m,3,2,6,4,0.25,-1.917449951171875,0.4703439846634865,0.0,0.736480712890625,0.27107199281454086,1.1920928955078125e-07,-0.25,-1.771087646484375,-0.4703439843624634,1.1920928955078125e-07,0.0,-0.219451904296875,0.0,1.1920928955078125e-07
