pe,post_attn_ln,length,exact_match,attn_var_L0,attn_var_L1
rope,1,1,1.0,0.11877,0.0972
rope,1,2,0.9922,0.07236,0.11545
rope,1,3,0.9922,0.06058,0.11635
rope,1,4,1.0,0.05562,0.10345
rope,1,5,0.9766,0.05468,0.09149
rope,1,6,0.0,0.0573,0.08615
rope,1,7,0.0,0.06008,0.08875
rope,1,8,0.0,0.06271,0.08788
rope,1,9,0.0,0.06342,0.09004
rope,1,10,0.0,0.06385,0.08891
rope,1,11,0.0,0.06478,0.08948
rope,1,12,0.0,0.06537,0.09104
rope,1,13,0.0,0.0664,0.08997
rope,1,14,0.0,0.06694,0.09144
rope,1,15,0.0,0.06714,0.09188
