pe,post_attn_ln,length,exact_match,attn_var_L0,attn_var_L1
nope,1,1,1.0,0.20394,0.17952
nope,1,2,0.7109,0.15124,0.21816
nope,1,3,0.0859,0.12102,0.25273
nope,1,4,0.0312,0.10245,0.27858
nope,1,5,0.0,0.08982,0.29722
nope,1,6,0.0,0.08124,0.30884
nope,1,7,0.0,0.07471,0.31863
nope,1,8,0.0,0.06961,0.32387
nope,1,9,0.0,0.06634,0.32913
nope,1,10,0.0,0.06263,0.33623
nope,1,11,0.0,0.06065,0.34088
nope,1,12,0.0,0.05849,0.34612
nope,1,13,0.0,0.05732,0.35377
nope,1,14,0.0,0.05589,0.36089
nope,1,15,0.0,0.05466,0.36574
