path,model,heads,n_examples,lengths,acc_first,acc_last,acc_drop,attn_first,attn_last,attn_drop,all_head_attn_first,all_head_attn_last,within_lengths,within_corr_attn,within_corr_normsq,within_corr_neg_entropy,winner
results\lengthgen\realmodel_results.json,EleutherAI/pythia-1.4b,8,900,"5,10,20,40,80,160",0.68,0.18666666666666668,0.4933333333333334,0.47800601959228517,0.21894105831782024,0.25906496127446493,0.8748697916666667,0.6685546875,6,0.1939440403531714,0.1219518804077182,0.09991581978555913,attn
results\lengthgen\realmodel_qwen1p5b_h4.json,Qwen/Qwen2.5-1.5B,4,900,"5,10,20,40,80,160",0.7666666666666667,0.006666666666666667,0.76,0.70692138671875,0.3370077832539876,0.36991360346476243,0.9231770833333334,0.7357942708333334,6,0.21932259489099667,0.21394512342712113,0.2313867039006751,neg_entropy
results\lengthgen\realmodel_qwen1p5b_h8.json,Qwen/Qwen2.5-1.5B,8,900,"5,10,20,40,80,160",0.7666666666666667,0.006666666666666667,0.76,0.5370145670572917,0.1805697218577067,0.35644484519958497,0.9231770833333334,0.7357942708333334,6,0.2682460038253083,0.2233449650614995,0.2484399580661454,attn
results\lengthgen\realmodel_qwen1p5b_h16.json,Qwen/Qwen2.5-1.5B,16,900,"5,10,20,40,80,160",0.7666666666666667,0.006666666666666667,0.76,0.3998602867126465,0.10517109155654908,0.2946891951560974,0.9231770833333334,0.7357942708333334,6,0.31707970071469666,0.17596673024263362,0.2459467345926867,attn
results\lengthgen\realmodel_gemma2b_h8.json,google/gemma-2-2b,8,900,"5,10,20,40,80,160",0.5066666666666667,0.5133333333333333,-0.006666666666666599,0.5273799407482147,0.27717743764321007,0.25020250310500464,0.93369140625,0.9623832194010417,6,0.3456694284551418,0.2684959497688912,0.23814509233579528,attn
