task,pe,post_attn_ln,length,exact_match,attn_var_L0,attn_var_L1
recall,rope,1,1,1.0,0.14064,0.22146
recall,rope,1,2,0.6719,0.12464,0.23799
recall,rope,1,3,0.5156,0.11206,0.23667
recall,rope,1,4,0.4141,0.10073,0.23571
recall,rope,1,5,0.4375,0.09256,0.22925
recall,rope,1,6,0.3984,0.08485,0.2246
recall,rope,1,7,0.2969,0.07798,0.21691
recall,rope,1,8,0.3281,0.07317,0.21444
recall,rope,1,9,0.2891,0.06895,0.20879
recall,rope,1,10,0.2188,0.06373,0.19615
recall,rope,1,11,0.1797,0.0627,0.19648
recall,rope,1,12,0.2578,0.06002,0.2015
recall,rope,1,13,0.2344,0.05813,0.18914
recall,rope,1,14,0.2109,0.05348,0.19249
recall,rope,1,15,0.2344,0.05251,0.18785
