pe,post_attn_ln,length,exact_match,attn_var_L0,attn_var_L1
rope,1,1,1.0,0.2026,0.13452
rope,1,2,1.0,0.13796,0.13014
rope,1,3,1.0,0.10567,0.1276
rope,1,4,0.9922,0.08875,0.12567
rope,1,5,1.0,0.07967,0.10022
rope,1,6,0.0,0.07632,0.07758
rope,1,7,0.0,0.07411,0.07671
rope,1,8,0.0,0.07233,0.07705
rope,1,9,0.0,0.07172,0.07956
rope,1,10,0.0,0.07026,0.07837
rope,1,11,0.0,0.0692,0.07743
rope,1,12,0.0,0.06759,0.07882
rope,1,13,0.0,0.06612,0.07662
rope,1,14,0.0,0.06495,0.07692
rope,1,15,0.0,0.06494,0.07668
