task,pe,post_attn_ln,length,exact_match,attn_var_L0,attn_var_L1
recall,rope,0,1,1.0,0.17319,0.20656
recall,rope,0,2,0.6406,0.16151,0.24622
recall,rope,0,3,0.4062,0.13863,0.25956
recall,rope,0,4,0.4062,0.12091,0.26754
recall,rope,0,5,0.375,0.11103,0.26662
recall,rope,0,6,0.375,0.10244,0.26673
recall,rope,0,7,0.2891,0.09158,0.26125
recall,rope,0,8,0.3125,0.088,0.26639
recall,rope,0,9,0.2188,0.07972,0.25249
recall,rope,0,10,0.1953,0.07676,0.24234
recall,rope,0,11,0.2266,0.07125,0.24989
recall,rope,0,12,0.3203,0.06745,0.24617
recall,rope,0,13,0.2812,0.06481,0.23846
recall,rope,0,14,0.2656,0.05913,0.23322
recall,rope,0,15,0.2266,0.05816,0.22452
