pe,post_attn_ln,length,exact_match,attn_var_L0,attn_var_L1
nope,0,1,1.0,0.30652,0.76637
nope,0,2,0.625,0.24999,0.66209
nope,0,3,0.1172,0.21365,0.68215
nope,0,4,0.0156,0.1871,0.73368
nope,0,5,0.0,0.16851,0.79929
nope,0,6,0.0,0.15639,0.8419
nope,0,7,0.0,0.14631,0.89884
nope,0,8,0.0,0.13884,0.9404
nope,0,9,0.0,0.13126,0.98696
nope,0,10,0.0,0.12562,1.01313
nope,0,11,0.0,0.12384,1.03723
nope,0,12,0.0,0.11834,1.07411
nope,0,13,0.0,0.11922,1.08146
nope,0,14,0.0,0.11499,1.10689
nope,0,15,0.0,0.11357,1.13158
